pflegeareal,area
Seebad Wollishofen,3249.9074324351845
Quartierpark Affoltern,3248.815000002997
Seebahnstrasse SBB,3207.184999990077
Schulhaus Allenmoos,3189.835000010915
Kleeweid/Kamelbuckel,3188.8949999903034
Schärrerwiese,3141.862954552385
Wiese an Riedhoferrain,3087.069999999839
Döltschianlage,3048.574065950506
Murmeliwiese,3040.8649999949293
Grünzug Züriholz,3019.052244447136
Schulhaus In der Ey,3006.7950000017604
Leonhard-Ragaz-Weg,2962.1749999900353
Merkurplatz,2936.99772727493
Rebenweganlage,2935.9499999985546
Griebuck,2910.7699999906295
Spielplatz Urania,2907.2126666656927
Looächeranlage,2890.2950000025403
Lommisweg,2816.3833901586927
Grünzug Herzogenmühle,2797.528754695721
Hüslibachwiese,2782.075000003109
Erismannhof,2741.572289108348
Schulhaus Loogarten,2644.5900000082
Birkenhof,2635.979999985797
Emil-Oberhänsli-Anlage,2625.965000002438
Tennisanlage Uetliberg,2611.1649999755923
In der Sommerau,2576.6050000002306
Pflanzschulwiese,2550.910000001823
Pfadiwegwiese,2549.962301587591
Werdhölzli Robinson,2532.1450000026334
Ruggächeranlage,2531.6500000128985
Sportanlage Neunbrunnenstrasse,2502.84693872463
Werkhof Zürich Nord,2486.870000005555
Quartierpark Loogarten,2480.7654761970334
Schlössliareal,2445.9650000072343
Grubenackeranlage,2400.5749999989166
Mühlebödeli,2393.0400000055115
Rasensportanlage Sonnau,2327.274999994344
Spielplatz Drahtzug,2311.0676324801702
Spielplatz Aegerten,2310.894999992237
FH Witikon Kirchhof,2310.2050000173667
Spielplatz Sihlpromenade,2303.135000002196
Zurlindenhof I,2258.6000000014897
Trittliwiese,2254.3350000032315
Berghaldenanlage,2230.995634957709
Schulhaus Küngenmatt,2208.5550000022445
Wassersportanlage Mythenquai RC Zürich,2197.101666670566
Pflaumenwiese,2191.1071633246834
Kappelerhof,2174.1285714358696
Wiese im Gut,2131.1050000026285
Hallenbad Leimbach,2120.045000000281
Schifffahrtsgesellschaft,2119.410000006014
Postanlage,2097.4199999894436
Rossacher,2073.016573504182
Pantheranlage,2066.5350000068524
Bombachanlage,2065.2600000036973
Spitz Birmensdorferstrasse,2052.2749999933408
Quartierpark Rosengarten,2038.5102672338764
Riedenhalden Obstwiese,2036.5200000004209
Quartierpark Josef-Areal,2014.3050000050375
Grünzug Kellerweg,1989.3499999994747
