"Jahr","ID_Quartier","Raum","SH_Quote","SH_Beziehende","Zivil_Bevölkerung"
2023,51,"Gewerbeschule",5,469,9223
2023,52,"Escher Wyss",1,69,5981
2023,61,"Unterstrass",2,519,23443
2023,63,"Oberstrass",1,106,10249
2023,71,"Fluntern",1,74,8457
2023,72,"Hottingen",1,95,10967
2023,73,"Hirslanden",2,141,7308
2023,74,"Witikon",2,206,11382
2023,81,"Seefeld",2,109,5552
2023,82,"Mühlebach",2,142,6209
2023,83,"Weinegg",2,104,5275
2023,91,"Albisrieden",3,651,22935
2023,92,"Altstetten",5,1595,34709
2023,101,"Höngg",2,519,23786
2023,102,"Wipkingen",4,593,16107
2023,111,"Affoltern",6,1600,25707
2023,115,"Oerlikon",4,930,22187
2023,119,"Seebach",6,1656,26035
2023,121,"Saatlen",6,516,8350
2023,122,"Schwamendingen-Mitte",8,830,10504
2023,123,"Hirzenbach",8,996,12553
2023,999,"Nicht zuordenbar",".",166,"."

