"nummer","foto","eignung","geraete","bereich","infrastruk","besonderes","typ","poi_id","elemente","gsz_id"
"73","J","0 - 5 Jahre","Klettergerät, Klettergerät mit Rutschstange","","","Bestandteil des Projekts 'Aufwertung der Manessestrasse', schöner Baumbestand","Spielplatz","sp073","Spielwiese, Planschbecken","0073"
"103","J","0 - 16 Jahre","Hamsterrad, Riesenschaukel, Kletteranlage mit Rutsche, Brettschaukel, Sandbereich, Federwippe,  Balkenwippe, Bockrutsche,  Pumpe, Spielhaus, Tischtennistisch","","","Gemeinschaftszentrum, grosszügige, abwechslungsreiche Anlage mit Tieren","GZ mit Spielplatz","sp103","Bachspielbereich, Spiel- und Liegewiese, Tiergehege, Volière, Summstein, Brunnen, Pergola","0103"
"91","J","0 - 5 Jahre","Spielhaus, Rutsche, Federwippe,  Sandbereich, Brettschaukel","","","schöne Aussicht","Spielplatz","sp091","terrassierte Spielfläche","0091"
"130","J","0 - 9 Jahre","Brettschaukel, Kletteranlage mit Rutsche, Kletteranlage mit Rutsche, Sandbereich,  Reck","","","Einzigartige Kletteranlage in Form und Farbgebung auf SZU-Züge abgestimmt","Spielplatz","sp130","Spiel- und Liegewiese, Weidengang, Spielhügel","0130"
"","N","","","","","","","sp9570","","0150"
"","N","","","","","","","sp9574","","0169"
"163b","J","0 - 5 Jahre","Röhren, Spielhaus, Brettschaukel, Sandkasten, Pumpe","","","Quartierspielplatz","Spielplatz","sp163b","Spiel- und Liegewiese","0163B"
"83","J","0 - 16 Jahre","Sandkasten, Kletteranlage mit Rutsche, Brettschaukel, Spezialgeräte","","","direkt am Zürichsee gelegenes Gemeinschaftszentrum mit Café","GZ mit Spielplatz","sp083","Spiel- und Liegewiese, Kiesfläche","0083"
"","J","0 - 15 Jahre","Schaukel, Balanciergerät, Wippen, Balancierspiel, Sandkasten","Im Innenhof","","","Spielplatz","sp9652","Schaukel, Balanciergerät, Wippen, Balancierspiel, Sandkasten","0018"
"68","J","0 - 5 Jahre","Brettschaukel, Tischtennistisch","","","Innenhof mit schönem Baumbestand","Spielplatz","sp068","Spiel- und Liegewiese","0068"
"52","J","0 - 16 Jahre","Kletteranlagen mit Rutschen, Brettschaukel, Federwippe, Sandbereich,  Spielhaus, Wasserspiel, Kletteranlage mit Rutsche","","","grosszügige Parkanlage mit altem Baumbestand","Spielplatz","sp052","Spiel- und Liegewiese, Spielhügel, Planschbecken","0052"
"54","J","0 - 5 Jahre","Bockrutsche, Federwippe, Sandbereich, Brettschaukel","","","Umbau 2016","Spielplatz","sp054","Spiel- und Liegewiese","0054"
"","N","","","","","","","sp9642","","TAZ005"
"17","J","0 - 5 Jahre","Balanciergerät, Kombischaukel, Sandbereich, Kletteranlage mit Rutsche","","","grosszügiger Quartierspielplatz","Spielplatz","sp017","grosse Kiesfläche","0017"
"114","J","0 - 5 Jahre","Kombischaukel, Federwippe, Korbschaukel, Kletteranlage mit Rutsche, Sandbereich","","","Quartierspielplatz","Spielplatz","sp114","Spiel- und Liegewiese","0114"
"","J","0 - 9 Jahre","Balanciergerät, Sandbereich, Sandspielgerät, Sandspielgeräte, Pumpe, Seilanlage, Wasserspiel","","","","","sp9650","","0539"
"172","J","0 - 9 Jahre","Kletterelement, Sandkasten, Seilanlage mit Rutsche, Balanciergerät, Kletterelement","","","Quartierspielplatz","Spielplatz","sp172","Spiel- und Liegewiese","0172"
"80","J","0 - 9 Jahre","Kletteranlage mit Rutsche, Wasserförderanlage, Sandbereich, Hängematte, Korbschaukel, Tischtennistisch","","","schöner Bachspielplatz mit Velopark","Spielplatz","sp080","Spiel- und Liegewiese, Velopark","0080"
"121","J","0 - 5 Jahre","Brettschaukel, Sandbereich, Korbschaukel, Sandspielgeräte, Kletteranlage mit Rutsche","","","sehr schöne Lage, naturnahe Uferbereiche","Spielplatz in Badeanlage","sp121","Spiel- und Liegewiese, Sandanlage","0121"
"12","J","0 - 9 Jahre","Sandbereich, Brettschaukel, Hüpfteller, Hangrutsche","","","grosszügige Grünanlage","Spielplatz","sp012","Spiel- und Liegewiese","0012"
"132a","J","0 - 5 Jahre","Federwippe, Sandbereich, Brettschaukel","","","kleine Spielanlage neben Tennisplatz","Spielplatz","sp132a","Kiesfläche","0132A"
"164","J","0 - 5 Jahre","Federwippe, Rotationsgerät","","","kleine Spielanlage","Spielplatz","sp164","Spiel- und Liegewiese","0164"
"64","J","0 - 5 Jahre","Sandbereich, Federwippe,  Hangrutsche, Klettergerät, Kombischaukel","","","abwechslungsreiche Anlage mit Aussicht über die Altstadt","Spielplatz","sp064","Spiel- und Liegewiese","0064"
"","N","","","","","","Kunstelement","sp9641","","TAZ002"
"144","J","0 - 9 Jahre","Klettergerät, Brettschaukel","","","Waldspielplatz in Waldlichtung, schöne Aussicht","Spielwiese im Wald","sp144","Spiel- und Liegewiese","0144"
"175","J","0 - 9 Jahre","Kletterelement, Brettschaukel,  Wasserförderanlage, Balanciergerät, Kletterelement, Korbschaukel, Spielhaus, Federwippe, Pumpe, Bockrutsche,    Seilanlage,  Sandbereich","","","Quartierspielplatz","Spielplatz","sp175","Kiesfläche","0175"
"161","J","0 - 5 Jahre","Federwippe, Brettschaukel, Kletteranlage mit Rutsche, Balanciergerät","","","Innenhof mit schönem Baumbestand","Spielplatz","sp161","Kiesfläche","0161"
"33b","J","0 - 16 Jahre","Korbschaukel, Kletteranlage mit Rutsche, Hängematte","","","grosszügige Parkanlage mit altem Baumbestand","Spielplatz","sp033b","Spiel- und Liegewiese","0033B"
"","N","","","","","","","sp9485","","0197"
"184","J","0 - 9 Jahre","Rundlauf, Spielhaus, Kletteranlage","","","Spielanlage in Badeanlage. Öffnungszeiten berücksichtigen!","Spielplatz in Badeanlage","sp184","Spiel- und Liegewiese","0184"
"10","J","0 - 5 Jahre","Kleinkinderschaukel, Kletterlement, Federwippe, Sandbereich, Hangrutsche, Rotationsgerät","","","kleine Grünanlage","Spielplatz","sp010","Spiel- und Liegewiese","0010"
"20","J","0 - 16 Jahre","Pumpe, Korbschaukel, Hangrutsche, Pendelschaukel, Wasserspiel,  Brettschaukel, Seilanlage, Seilbahn, Sandbereich, Sandspielgerät, Tischtennistisch","","","Gemeinschaftszentrum, naturnahe Umgebung","GZ mit Spielplatz","sp020","grosse Spiel- und Liegewiese, grosse Kiesfläche, Spielhügel","0020"
"","N","","","","","","","sp9573","","0167"
"","N","","","","","","","sp9643","","TAZ003"
"","J","10 - 99","Calisthenics","","","","","sp9651","","SPA002"
"11","J","0 - 9 Jahre","Kletteranlage, Balanciergerät, Hangrutsche, Kletteranlage mit Rutsche, Brettschaukel, Federwippe, Sandbereich","","","grosszügiger Grünzug","Spielplatz","sp011","Spiel- und Liegewiese","0011"
"31","J","0 - 16 Jahre","Wasserspiel, Kletteranlage mit Rutsche, Brettschaukel, Korbschaukel, Sandbereich, Sandspielgerät, Seilanlage, Kletterelement, Kletteranlage","","","Gemeinschaftszentrum mit Cafe direkt an der Limmat, Kinderbauernhof mit Tieren","GZ mit Spielplatz","sp031","Spiel- und Liegewiese, Planschbecken","0031"
"70","J","0 - 5 Jahre","Brettschaukel, Sandbereich,  Röhre, Brettschaukel","","","Ruhige Parkanlage","Spielplatz","sp070","Grünzug","0070"
"72","J","0 - 16 Jahre","Brettschaukel, Balanciergerät, Kletterelement, Findlinge, Sandbereich, Bockrutsche, Kletteranlage mit Rutsche, Federwippe","","","wunderschönes Spielschiff","Spielplatz","sp072","Spiel- und Liegewiese, Schlittelhang","0072"
"53","J","0 - 16 Jahre","Findlinge, Federwippe, Sandbereich,  Pumpen, Schwingwippe, Brettschaukel,  Kletterelement, Hangrutsche, Riesenschaukel, Kletteranlage mit Rutsche, Tischtennistisch","","","beliebtes Ausflugsziel","Spielplatz","sp053","Spiel- und Liegewiese, Spielhügel, Waldspielplatz","0053"
"105","J","0 - 5 Jahre","Kletteranlage mit Rutsche, Kletterelement, Sandbereich, Wasserspiel, Brettschaukel","","","grosszügige Spielanlage mit schönem Baumbestand","Spielplatz","sp105","Spiel- und Liegewiese, Kletterfelsen, Kiesplatz","0105"
"111","J","0 - 5 Jahre","Bockrutsche, Sitzkarussell, Spielhaus, Brettschaukel, Sandbereich","","","kleine Spielanlage neben grosser Spielwiese","Spielplatz","sp111","Spiel- und Liegewiese","0111"
"185","J","0 - 9 Jahre","Kletteranlage mit Rutsche, Brettschaukel","","","Spielanlage in Badeanlage. Öffnungszeiten berücksichtigen!","Spielplatz in Badeanlage","sp185","Spiel- und Liegewiese","0185"
"42","J","0 - 5 Jahre","Brettschaukel, Planschbecken, Hangrutsche, Sandbereich, Federwippe","","","Quartierspielplatz","Spielplatz","sp042","Spiel- und Liegewiese, Planschbecken","0042"
"143","J","0 - 16 Jahre","Brettschaukel, Sprossengerät, Bockrutsche, Reck","","","moderne Parkanlage","Spielplatz","sp143","Spiel- und Liegewiese, Hartplatz, Allwetterplatz, Spielhügel","0143"
"76","J","0 - 16 Jahre","Federwippe, Sandkasten, Kletteranlage mit Rutsche, Korbschaukel","","","grosszügige Parkanlage mit Streuobstwiese","Spielplatz","sp076","Spiel- und Liegewiese, Hartplatz, Schlittelhügel","0076"
"75","J","0 - 5 Jahre","Pumpe, Tischtennistisch","","","kleine, übersichtliche Anlage","Spielplatz","sp075","Spiel- und Liegewiese","0075"
"113","J","0 - 5 Jahre","Hüpfteller, Federwippe, Kletteranlage,  Sandkasten, Brettschaukel, Hangrutsche, Balanciergerät, Tischtennistisch","","","grosszügige Parkanlage mit altem Baumbestand","Spielplatz","sp113","Bachspielplatz, Spiel- und Liegewiese, Schlittelhügel","0113"
"16","J","0-5 Jahre","Sandbereich, Sandspielgerät","","","kleine Grünanlage am Bach","Spielplatz","sp016","Spiel- und Liegewiese, Bach, Sandanlage, Arena","0016"
"82","J","0 - 5 Jahre","Hangrutsche, Drehkletterturm, Federwippe, Reck, Sandkasten","","","ruhige, übersichtliche Spielanlage","Spielplatz","sp082","Spiel- und Liegewiese","0082"
"62","J","0 - 9 Jahre","Hangrutsche, Korbschaukel, Balanciergerät, Sandbereich, Kletterelement, Federwippe","","","grosszügiger, ruhiger Innenhof","Spielplatz","sp062","Spiel- und Liegewiese, Spielhügel","0062"
"183","J","0 - 9 Jahre","Brettschaukel, Federwippe, Wasserförderanlage, Seilanlage ohne Rutsche, Rundlauf","","","Spielanlage in Badeanlage. Öffnungszeiten berücksichtigen!","Spielplatz in Badeanlage","sp183","Spiel- und Liegewiese","0183"
"","N","","","","","","","sp9644","","TAZ006"
"94","J","0 - 5 Jahre","Sandbereich, Sandspielgeräte, Brettschaukel, Kletteranlage mit Rutsche, Bockrutsche, Federwippe, Tischtennistisch","","","liegt am rechten Limmatuferweg, Volière in der Anlage","Spielplatz","sp094","Spiel- und Liegewiese, Kiesfläche","0094"
"49","J","0 - 5 Jahre","Sandkasten, Brettschaukel, Federwippe","","","Historischer Villengarten in der Altstadt","Spielplatz","sp049","kleiner Spielplatz","0049"
"86","J","0 - 16 Jahre","Sandbereich, Balanciergerät, Kletteranlage mit Rutsche, Pumpe,  Rutsche, Korbschaukel, Kletterturm, Brettschaukel, Matschtisch, Federwippe","","","direkt am Waldrand gelegene einzigartige Spielanlage mit riesigem Spielturm","Spielplatz","sp086","Spiel- und Liegewiese, Fussballplatz","0086"
"146","J","0 - 9 Jahre","Drehkletterturm, Hüpfteller","","","Gemeinschaftszentrum","GZ mit Spielplatz","sp146","grosse Kiesfläche, Hartplatz","0146"
"","N","0 - 9 Jahre","","","","","SPPL IMMO Schule","sp9649","","0755"
"74b","J","0 - 9 Jahre","Spielhaus, Federwippe, Brettschaukel, Federwippe, Kletteranlage mit Rutsche","","","krumme und schiefe Kletteranlage","Spielplatz","sp074b","Spiel- und Liegewiese","0074B"
"182","J","0 - 9 Jahre","Schwingwippe, Federwippe, Korbschaukel, Drehkletterturm, Sandspielgeräte, Balkenwippe, Brettschaukel, Kletteranlage mit Rutsche","","","Spielanlage in Badeanlage. Öffnungszeiten berücksichtigen!","Spielplatz in Badeanlage","sp182","Spiel- und Liegewiese","0182"
"55","J","0 - 9 Jahre","Schwenkwippe, Hängematte, Kletteranlage mit Rutsche","","","Quartierspielplatz","Spielplatz","sp055","Hartplatz","0055"
"119","J","0 - 9 Jahre","Seilanlage, Schwingwippe, Federwippe, Brettschaukel, Drehkletterturm, Balkenwippe, Wasserförderanlage, Rundlauf, Brettschaukel","","","Spielanlage liegt innerhalb Badeanlage an der Limmat. Die Anlage ist nur über die Sommermonate zugänglich.","Spielplatz in Badeanlage","sp119","Spiel- und Liegewiese","0119"
"26","J","0 - 9 Jahre","Sitzkarussell, Pumpen, Hangrutsche, Federwippe, Kletteranlage, Balanciergerät, Rundlauf, Tischtennistisch","","","grosszügige, naturnahe Anlage, Familienausflugsziel, Schlüssel für Toilette muss beim Friedhof Schwamendingen ausgeliehen werden","Spielplatz","sp026","Sandanlage, Spiel- und Liegewiese","0026"
"65","J","0 - 5 Jahre","Brettschaukel, Sandbereich, Schachspiel","","","historische Anlage mit schönem Lindenbestand und Aussicht auf die Altstadt","Spielplatz","sp065","Kiesplatz","0065"
"","N","","","","","","","sp9105","","0030"
"58","J","0 - 9 Jahre","Brettschaukel, Rutsche,  Wasserspiel, Sprossengerät, Kletterelement, Hängematte, Balanciergerät, Sandbereich,  Einpunktschaukel, Wasserspiel, Pumpe","","","äusserst beliebter, einmaliger Spielplatz","Spielplatz","sp058","Spiel-  und Liegewiese, Boulderwand","0058"
"166","J","0 - 9 Jahre","Pumpe, Brettschaukel, Sandbereich, Matschtisch, Kletteranlage, Kletteranlage mit Rutsche, Korbschaukel, Spielhaus","","","Quartiertreff mit Café","Quartiertreff mit Spielplatz","sp166","Spiel- und Liegewiese","0166"
"110","J","0 - 9 Jahre","Korbschaukel, Kletteranlage mit Rutsche, Wasserförderanlage, Hangrutsche","","","krumme und schiefe Spielanlage, Steinpyramiede","Spielplatz","sp110","Spiel- und Liegewiese, grosse Kiesfläche","0110"
"78a","J","0 - 5 Jahre","Sandbereich, Spielhaus, Brettschaukel, Korbschaukel, Kletteranlage mit Rutsche, Balanciergerät","","","grosszügige, historische Parkanlage, Museum Rietberg","Spielplatz","sp078a","Spiel- und Liegewiese","0078A"
"","N","","","","","","","sp9571","","0152"
"122","J","0 - 5 Jahre","Kletteranlage mit Rutsche, Sandbereich, Brettschaukel, Matschtisch","","","Kleine Parkanlage","Spielplatz","sp122","Spiel- und Liegewiese","0122"
"181","J","0 - 9 Jahre","Brettschaukel, Rotationsgerät, Wasserförderanlage, Wasserspiel","","","Spielanlage in Badeanlage. Öffnungszeiten berücksichtigen!","Spielplatz in Badeanlage","sp181","Spiel- und Liegewiese","0181"
"27","J","0 - 9 Jahre","Brettschaukel, Kletteranlage mit Rutsche, Hangrutsche, Tischtennistisch","","","Kleine Parkanlage","Spielplatz","sp027","grosse Kiesfläche","0027"
"","N","","","","","","","sp9575","","0170"
"","N","","","","","","","sp12765","",""
"96a","J","0 - 5 Jahre","Kletteranlage mit Rutsche, Kombischaukel, Rotationsgerät, Federwippe, Pumpen, Balkenwippe, Balanciergerät, Sandbereich","","","Umbau 2016","Spielplatz","sp096a","Spiel- und Liegewiese","0096A"
"191","J","0 - 16 Jahre","keine Spielgeräte","","","Hauptaktivität ist der Bau von Hütten und das Werken mit Holz und anderen Materialien, beaufsichtigter Bauspielplatz mit Öffnungszeiten","Bauspielplatz - privater Verei","sp191","Abenteuerspielplatz","0191"
"135","J","0 - 9 Jahre","Federwippe, Balkenwippe, Bockrutsche, Brettschaukel, Pumpe","","","Jeweils kostenlos zugänglich von Oktober bis April","Spielplatz in Badeanlage","sp135","Spiel- und Liegewiese","0135"
"165","J","0 - 9 Jahre","Hangrutsche, Rotationsgerät, Kletteranlage mit Rutsche, Korbschaukel, Klettergerät, Seilbahn","","","Spielanlage an der Limmat gelegen, Bistro direkt neben Spielplatz,","Spielplatz","sp165","Spiel- und Liegewiese","0165"
"186","J","0 - 9 Jahre","Drehteller, Sandkasten, Rutsche, Kletteranlage mit Rutsche, Schwingwippe, Hängematte, Brettschaukel, Federwippe","","","Umbau 2016","Spielplatz in Badeanlage","sp186","Spiel- und Liegewiese","0186"
"","N","","","","","","","sp9646","","0171"
"128","J","0 - 5 Jahre","Sandkasten, Brettschaukel","","","kleine Spielanlage","Spielplatz","sp128","Spiel- und Liegewiese","0128"
"2","J","0 - 16 Jahre","Matschtisch, Sandbereich, Sandspielgeräte, Brettschaukel, Wasserspiel,Hangrutsche, Balkenwippe,   Kletterelement, Seilbahn, Federwippe, Boulderwand","","","Gemeinschaftszentrum am Katzenbach","GZ mit Spielplatz","sp002","Spiel- und Liegewiese, Hartplatz, Bocciabahn","0002"
"145","J","0 - 9 Jahre","Kletterelement, Korbschaukel, Brettschaukel, Kletteranlage mit Rutsche, Klettergerät, Balanciergerät","","","Waldspielplatz in schöner Waldlichtung, Aussicht","Spielplatz","sp145","Spiel- und Liegewiese","0145"
"106","J","0 - 9 Jahre","Sandkasten, Kletteranlage mit Rutsche, Bockrutsche, Federwippe, Pendelschaukel, Wasserförderanlage, Brettschaukel, Tischtennistisch","","","grosszügige Parkanlage mit altem Baumbestand","Spielplatz","sp106","Spiel- und Liegewiese, grosse Kiesfläche, Spielhügel","0106"
"78b","J","0 - 5 Jahre","Sandbereich, Federwippe, Brettschaukel, Bockrutsche, Sandkasten","","","grosszügige, historische Parkanlage, Museum Rietberg","Spielplatz","sp078b","Spiel- und Liegewiese","0078B"
"92","J","0 - 5 Jahre","Rutsche, Brettschaukel, Sandbereich, Federwippe, Hüpfteller","","","ruhig gelegene Anlage mit schöner Aussicht","Spielplatz","sp092","grosse, terrassierte Kiesfläche","0092"
"21","J","0-5 Jahre","Brettschaukel, Kletteranlage mit Rutsche, Sandbereich","","","Rollschuhbahn","Spielplatz","sp021","Spiel- und Liegewiese","0021"
"180","J","0 - 9 Jahre","Brettschaukel","","","Spielanlage in Badeanlage. Öffnungszeiten berücksichtigen!","Spielplatz in Badeanlage","sp180","Spiel- und Liegewiese","0180"
"89","J","0 - 9 Jahre","Balkenwippe, Brettschaukel, Balanciergerät, Balanciergerät, Kletterelement, Pumpe,  Wasserspiel, Kletterelement, Brettschaukel","","","ruhig gelegener Spielplatz am Waldrand neben Tennisanlage Waidberg, beliebtes Ausflugsziel","Spielplatz","sp089","Spiel- und Liegewiese","0089"
"57","J","0 - 5 Jahre","Brettschaukel, Kletteranlage mit Rutsche, Tischtennistisch","","","kleine Grünanlage","Spielplatz","sp057","Spiel- und Liegewiese","0057"
"104b","J","0 - 5 Jahre","Balkenwippe, Brettschaukel, Spielhaus, Federwippe, Drehteller","","","übersichtliche Spielanlage neben Café bei Sportanlage","Spielplatz","sp104b","Kiesplatz","0104B"
"","N","","","","","","","sp12764","",""
"36","J","0 - 5 Jahre","Brettschaukel, Kleinkinderschaukel, Wasserspiel, Sandbereich, Brettschaukel","","","Schöner Aussichtspunkt","Spielplatz","sp036","Sandanlage, grosse Kiesrasenfläche","0036"
