"oeffnungsz","gebuehren","standort","kreis","typ","poi_id","kommentar"
"24h","Fr. 1.-- oder Eurokey","Schaffhauserplatz 5 / Bei der Einmündung Seminarstrasse","6","","wcr054","Selbstreinigender WC Automat für Damen- und Herren. Rollstuhlgängig mit automatischer Türe, Wickeltisch."
"Rollstuhlgängiges- und familiengerechtes-WC: von 06:00-22:00 - mit Eurokey 24 h offen. Multifunktions-WC: 24 h offen.","Rollstuhlgängiges- und familiengerechtes-WC: CHF 1.-- / 1 Euro (Kreditkartenzahlung möglich) oder Eurokey. Multifunktions-WC: kostenlos. ","Zürichbergstr. 175 / Endstation Zoo, Wartehalle","7","","wcr055","1 Rollstuhlgängiges- und familiengerechtes-WC Modul mit Wickeltisch und 1 Multifunktions-WC. Das ZüriWC liegt an der Tramendhaltestelle Zoo."
"6.30 bis 21.45 Uhr. November bis März bis 20.45 Uhr. Bei Veranstaltungen auch länger. Behinderten-WC (aussen) 24 h","Gebühr Fr. 1.-- oder Eurokey","Bellevueplatz 2 / Im Tramwartehäuschen seeseitig","1","","wcr003","Bediente Anlage, Behinderten-WC, Wickeltisch im Behinderten-WC. Unser Personal ist während der Öffnungszeiten vor Ort und sorgt für Sauberkeit und Sicherheit."
"24 h","Gebührenfrei","Bürkliplatz 12 / Beim Kiosk ZSG-Schiffahrtsgesellschaft","1","","wcr006","Damen- und Herren-WC, Pissoir, Behinderten-WC mit Eurokey. Der Schlüssel kann beim Kiosk verlangt werden. Bei schönem Wetter sehr stark frequentierte Anlage."
"MF-WC 24 h, Behinderten-WC mit Eurokey 24h, mit Gebühr Fr. 1.-- 06.00-22.00 Uhr","Behinderten-WC Fr. 1.-- oder Eurokey, Damen- und Herren-WC gratis","Heimplatz","1","","wcr009","Multifunktions- und Behinderten WC."
"24h","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Witikonerstrasse 2 / Auf der Traminsel","7","","wcr058","Multifunktions- und Behinderten WC, Wickeltisch. Direkt an der Haltestelle."
"24h","Fr. 1.-- oder Eurokey","Stadthausquai 18/ Am Limmatufer","1","","wcr5226","Selbstreinigender WC Automat für Damen und Herren. Rollstuhlgängig mit automatischer Türe, Wickeltisch."
"24 h","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Gloriastrasse 15a","7","","wcr060","Multifunktions- und Behinderten-WC, Wickeltisch. "
"24 h","Fr. 1.-- oder Eurokey","Rütistrasse 1 / Ilgenstrasse","7","","wcr061","Selbstreinigender WC Automat für Damen- und Herren. Rollstuhlgängig mit automatischer Tür, Wickeltisch."
"Während der Öffnungszeiten des Restaurants. Behinderten-WC 24h","Behinderten-WC Fr. 1.-- oder Eurokey, Damen- und Herren-WC gratis","Klausstrasse 2 / an der Uferpromenade","8","","wcr065","Damen- und Herren WC, Pissoir, Behinderten-WC, Wickeltisch. Das 2017 umgebaute WC ist bei schönem Wetter sehr stark frequentiert. Es ist auch das Gäste-WC des Restaurant Kiosk."
